key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:auditor
# base entity,"","","","","",""
report-00,TI00-Audit00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
# ticker - standard variations,"","","","",""
report-01,"","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-02,LN53-,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-03,LLLL-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-04,LL53,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-05,abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-06,-,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-07,1111-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-08,111L-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-09,11LL-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-10,1LLL-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-11,L111-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
report-12,LLL1-abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/03 00:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,auditor-00
