key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode

# Ticker
invention-02,inventor-01,AB12-Lore,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-03,inventor-01,AB12-LoremOipsum,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-04,inventor-01,12AB-LoremABC,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-05,inventor-01,1AB2-LoremABCD,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-06,inventor-01,AB12-LoremABCD,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-07,inventor-01,AB12-LoremABCD,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-34,inventor-01,"",My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-17,inventor-01,LN53-,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-18,inventor-01,LLLL-abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-19,inventor-01,LL53,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-20,inventor-01,abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-21,inventor-01,-,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-22,inventor-01,1111-abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-23,inventor-01,111L-abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-24,inventor-01,11LL-abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-25,inventor-01,1LLL-abcde,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-26,inventor-01,LL11-abcde-,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-27,inventor-01,UO07-123456789000000,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-28,inventor-01,AAA111-abcdef,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# ticker - singular values
invention-29,inventor-01,ÑÑ00-123456_aL,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-30,inventor-01,SR58-__ññ___,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-31,inventor-01,SR58-__😃😃___,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-32,inventor-01,😃R58-__qq___,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-33,inventor-01,SR5😃-__qq___,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# Name min - 1 max - 75
invention-08,inventor-01,AB12-LoremIP1,"",This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-09,inventor-01,AB12-LoremIP2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# Description min - 1 max -255
invention-10,inventor-01,AB12-LoremIP3,"My first invention",,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
