key,name,notes,expectedPercentage,kind,key:strategy
# base entity,"","","","",""
tactic-00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.5,SUBTLE,strategy-00
# name - standard variations,"","","","",""
tactic-01,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.5,SUBTLE,strategy-00
tactic-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.5,SUBTLE,strategy-00
# name - no singular values,"","","","",""
# notes - standard variations,"","","","",""
tactic-03,"Lorem ipsum dolor sit amet, consectetu","",50.5,SUBTLE,strategy-00
tactic-04,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",50.5,SUBTLE,strategy-00
# notes - no singular values,"","","","",""
# expectedPercentage - standard variations,"","","","",""
tactic-05,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",SUBTLE,strategy-00
tactic-06,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",-1,SUBTLE,strategy-00
# expectedPercentage - no singular values,"","","","",""
# kind - standard variations,"","","","",""
tactic-07,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.5,"",strategy-00
# kind - no singular values,"","","","",""
# strategy - standard variations,"","","","",""
tactic-08,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",50.5,SUBTLE,""
# campaign - no singular values,"","","","",""
