key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
# base entity
invention-01,inventor-01,AB12-LoremIP,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# Ticker
invention-02,inventor-01,AB12-LoremA,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-03,inventor-01,AB12-LoremAB,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-04,inventor-01,AB12-LoremABC,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-05,inventor-01,AB12-LoremABCD,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-06,inventor-01,AB12-LoremABCDE,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# Ticker - singular
invention-53,inventor-01,TI00-__________,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-54,inventor-01,AA00-__________,My first invention,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
# Name min - 1 max - 75
invention-07,inventor-01,AB12-LoremIP1,"L",This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-08,inventor-01,AB12-LoremIP2,Lo,This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-09,inventor-01,AB12-LoremIP3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
invention-10,inventor-01,AB12-LoremIP4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",This is a valid one,2026/01/01 00:00,2028/01/28 00:00,http://www.lorem-ipsum.org,true
