key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:fundraiser
# base entity,"","","","","","","",""
strategy-00,TI00-Strat00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
# ticker - standard variations,"","","","","","","",""
strategy-01,AL21-00000,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-02,PT19-00000,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-03,LN53-abCde_p,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-04,OL58-1234567a_,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-05,UO07-1234567890,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
# ticker - no singular values,"","","","","","","",""
# name - standard variations,"","","","","","","",""
strategy-06,TI00-Strat01,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-07,TI00-Strat02,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-08,TI00-Strat03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-09,TI00-Strat04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-10,TI00-Strat05,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-11,TI00-Strat06,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-12,TI00-Strat07,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-13,TI00-Strat08,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-14,TI00-Strat09,<script>alert('Hacked!');</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-15,TI00-Strat10,'' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
# name - singular values,"","","","","","","",""
strategy-16,TI00-Strat11,☺,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
# description - standard variations,"","","","","","","",""
strategy-17,TI00-Strat12,"Lorem ipsum dolor sit amet, consectetu",L,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-18,TI00-Strat13,"Lorem ipsum dolor sit amet, consectetu",Lo,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-19,TI00-Strat14,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-20,TI00-Strat15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-21,TI00-Strat16,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-22,TI00-Strat17,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-23,TI00-Strat18,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-24,TI00-Strat19,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-25,TI00-Strat20,"Lorem ipsum dolor sit amet, consectetu",<script>alert('Hacked!');</script>,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
strategy-26,TI00-Strat21,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,2026/06/01 09:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-00
# description - singular values
